sentence_id,token,label
1,Apple,COMPANY
1,Inc,COMPANY
1,reported,O
1,record,O
1,earnings,EVENT
1,of,O
1,$,CURRENCY
1,97,CURRENCY
1,billion,CURRENCY
1,this,O
1,quarter,O
1,.,O
2,AAPL,TICKER
2,shares,O
2,surged,O
2,after,O
2,the,O
2,acquisition,EVENT
2,announcement,O
2,.,O
3,The,O
3,Federal,COMPANY
3,Reserve,COMPANY
3,raised,O
3,interest,INDICATOR
3,rates,INDICATOR
3,by,O
3,25,O
3,basis,O
3,points,O
3,.,O
4,Tesla,COMPANY
4,TSLA,TICKER
4,reported,O
4,a,O
4,merger,EVENT
4,with,O
4,SolarCity,COMPANY
4,worth,O
4,$,CURRENCY
4,2.6,CURRENCY
4,billion,CURRENCY
4,.,O
5,GDP,INDICATOR
5,growth,INDICATOR
5,in,O
5,the,O
5,US,O
5,reached,O
5,3.2,O
5,%,O
5,in,O
5,Q3,O
5,.,O
6,Microsoft,COMPANY
6,MSFT,TICKER
6,announced,O
6,a,O
6,dividend,EVENT
6,of,O
6,$,CURRENCY
6,0.68,CURRENCY
6,per,O
6,share,O
6,.,O
7,EUR,CURRENCY
7,/,O
7,USD,CURRENCY
7,pair,O
7,fell,O
7,after,O
7,ECB,COMPANY
7,rate,INDICATOR
7,decision,O
7,.,O
8,Amazon,COMPANY
8,AMZN,TICKER
8,completed,O
8,its,O
8,IPO,EVENT
8,raising,O
8,$,CURRENCY
8,54,CURRENCY
8,billion,CURRENCY
8,in,O
8,fresh,O
8,capital,O
8,.,O
9,Inflation,INDICATOR
9,rose,O
9,to,O
9,6.8,O
9,%,O
9,prompting,O
9,Goldman,COMPANY
9,Sachs,COMPANY
9,GS,TICKER
9,to,O
9,revise,O
9,its,O
9,forecast,O
9,.,O
10,The,O
10,S,INDICATOR
10,&,INDICATOR
10,P,INDICATOR
10,500,INDICATOR
10,index,O
10,dropped,O
10,200,O
10,points,O
10,following,O
10,the,O
10,bankruptcy,EVENT
10,filing,O
10,by,O
10,Lehman,COMPANY
10,Brothers,COMPANY
10,.,O
11,JPMorgan,COMPANY
11,Chase,COMPANY
11,JPM,TICKER
11,raised,O
11,its,O
11,dividend,EVENT
11,payout,O
11,to,O
11,$,CURRENCY
11,1.00,CURRENCY
11,per,O
11,share,O
11,.,O
12,Bitcoin,CURRENCY
12,BTC,TICKER
12,crossed,O
12,$,CURRENCY
12,50,CURRENCY
12,000,CURRENCY
12,after,O
12,ETF,EVENT
12,approval,O
12,by,O
12,the,O
12,SEC,COMPANY
12,.,O
13,Unemployment,INDICATOR
13,rate,O
13,fell,O
13,to,O
13,3.5,O
13,%,O
13,as,O
13,Google,COMPANY
13,GOOG,TICKER
13,announced,O
13,10,O
13,000,O
13,new,O
13,hires,O
13,.,O
14,Meta,COMPANY
14,META,TICKER
14,shares,O
14,tumbled,O
14,after,O
14,missing,O
14,revenue,INDICATOR
14,estimates,O
14,following,O
14,its,O
14,earnings,EVENT
14,call,O
14,.,O
15,Crude,INDICATOR
15,oil,INDICATOR
15,prices,INDICATOR
15,jumped,O
15,to,O
15,$,CURRENCY
15,90,CURRENCY
15,per,O
15,barrel,O
15,amid,O
15,geopolitical,O
15,tensions,O
15,.,O
16,NVIDIA,COMPANY
16,NVDA,TICKER
16,stock,O
16,split,EVENT
16,4,O
16,-,O
16,for,O
16,-,O
16,1,O
16,sending,O
16,shares,O
16,to,O
16,all,O
16,-,O
16,time,O
16,highs,O
16,.,O
17,The,O
17,CPI,INDICATOR
17,data,O
17,released,O
17,today,O
17,showed,O
17,a,O
17,0.4,O
17,%,O
17,monthly,O
17,increase,O
17,.,O
18,Berkshire,COMPANY
18,Hathaway,COMPANY
18,BRK,TICKER
18,acquired,O
18,Pilot,COMPANY
18,Flying,COMPANY
18,J,COMPANY
18,for,O
18,$,CURRENCY
18,8.2,CURRENCY
18,billion,CURRENCY
18,.,O
19,The,O
19,yield,INDICATOR
19,curve,INDICATOR
19,inverted,O
19,as,O
19,10,O
19,-,O
19,year,O
19,Treasury,INDICATOR
19,yields,INDICATOR
19,fell,O
19,below,O
19,2,O
19,-,O
19,year,O
19,rates,O
19,.,O
20,Alibaba,COMPANY
20,BABA,TICKER
20,faced,O
20,delisting,EVENT
20,risk,O
20,after,O
20,SEC,COMPANY
20,issued,O
20,a,O
20,non,O
20,-,O
20,compliance,O
20,notice,O
20,.,O
21,Elon,O
21,Musk,O
21,sold,O
21,$,CURRENCY
21,6.9,CURRENCY
21,billion,CURRENCY
21,in,O
21,Tesla,COMPANY
21,TSLA,TICKER
21,stock,O
21,to,O
21,fund,O
21,the,O
21,Twitter,COMPANY
21,acquisition,EVENT
21,.,O
22,The,O
22,PPI,INDICATOR
22,rose,O
22,0.7,O
22,%,O
22,in,O
22,October,O
22,above,O
22,economist,O
22,expectations,O
22,of,O
22,0.4,O
22,%,O
22,.,O
23,Visa,COMPANY
23,V,TICKER
23,reported,O
23,strong,O
23,Q4,O
23,results,O
23,with,O
23,net,INDICATOR
23,income,INDICATOR
23,up,O
23,19,O
23,%,O
23,year,O
23,-,O
23,over,O
23,-,O
23,year,O
23,.,O
24,The,O
24,Dow,INDICATOR
24,Jones,INDICATOR
24,Industrial,INDICATOR
24,Average,INDICATOR
24,fell,O
24,800,O
24,points,O
24,following,O
24,the,O
24,Fed,COMPANY
24,rate,O
24,hike,EVENT
24,announcement,O
24,.,O
25,Pfizer,COMPANY
25,PFE,TICKER
25,completed,O
25,its,O
25,merger,EVENT
25,with,O
25,Seagen,COMPANY
25,for,O
25,$,CURRENCY
25,43,CURRENCY
25,billion,CURRENCY
25,in,O
25,cash,O
25,.,O
